EpochTime,CurrentPlaybackTime,CurrentBufferSize,CurrentPlaybackState,Action,Bitrate
0,0,0,INITIAL_BUFFERING,Starting,0
0,0,0,INITIAL_BUFFERING,Starting,0
0.004605531692504883,0,1,INITIAL_BUFFERING,Writing,45226
0.01280665397644043,0,1,PLAY,InitialBuffering-Play,0
0.015858173370361328,0,0,PLAY,StillPlaying,45226
0.3593895435333252,0,1,PLAY,Writing,88783.0
0.9410738945007324,0,2,PLAY,Writing,128503.0
1.7776191234588623,1,3,PLAY,Writing,177437.0
2.7689669132232666,2,4,PLAY,Writing,217761.0
3.7055482864379883,3,5,PLAY,Writing,255865.0
4.01725435256958,4,4,PLAY,StillPlaying,88783.0
4.5882415771484375,4,5,PLAY,Writing,323047.0
6.625318288803101,6,6,PLAY,Writing,378355.0
8.017323017120361,8,5,PLAY,StillPlaying,128503.0
9.02860951423645,9,6,PLAY,Writing,509091.0
11.641660690307617,11,7,PLAY,Writing,577751.0
12.017381429672241,12,6,PLAY,StillPlaying,177437.0
15.207452774047852,15,7,PLAY,Writing,782553.0
16.017228603363037,16,6,PLAY,StillPlaying,217761.0
20.01732325553894,20,5,PLAY,StillPlaying,255865.0
20.075342655181885,20,6,PLAY,Writing,1008699.0
23.798383951187134,23,7,PLAY,Writing,782553.0
24.01717495918274,24,6,PLAY,StillPlaying,323047.0
28.017425298690796,28,5,PLAY,StillPlaying,378355.0
28.610991716384888,28,6,PLAY,Writing,1008699.0
32.01819705963135,32,5,PLAY,StillPlaying,509091.0
32.261412143707275,32,6,PLAY,Writing,782553.0
34.872211933135986,34,7,PLAY,Writing,1008699.0
36.01725769042969,36,6,PLAY,StillPlaying,577751.0
37.79352951049805,37,7,PLAY,Writing,782553.0
40.01732325553894,40,6,PLAY,StillPlaying,782553.0
42.42617917060852,42,7,PLAY,Writing,1008699.0
44.017250776290894,44,6,PLAY,StillPlaying,1008699.0
45.54635167121887,45,7,PLAY,Writing,782553.0
48.01731896400452,48,6,PLAY,StillPlaying,782553.0
49.605616331100464,49,7,PLAY,Writing,1008699.0
52.01732325553894,52,6,PLAY,StillPlaying,1008699.0
53.47632074356079,53,7,PLAY,Writing,782553.0
56.01726198196411,56,6,PLAY,StillPlaying,782553.0
58.220970153808594,58,7,PLAY,Writing,1008699.0
60.01777768135071,60,6,PLAY,StillPlaying,1008699.0
61.05790162086487,61,7,PLAY,Writing,782553.0
64.01733112335205,64,6,PLAY,StillPlaying,782553.0
64.2011570930481,64,7,PLAY,Writing,1008699.0
68.01726984977722,68,6,PLAY,StillPlaying,1008699.0
72.01726818084717,72,5,PLAY,StillPlaying,782553.0
73.76793718338013,73,6,PLAY,Writing,782553.0
76.01732778549194,76,5,PLAY,StillPlaying,1008699.0
80.0172746181488,80,4,PLAY,StillPlaying,782553.0
84.01785206794739,84,3,PLAY,StillPlaying,1008699.0
88.01734161376953,88,2,PLAY,StillPlaying,782553.0
89.71226954460144,89,3,PLAY,Writing,509091.0
92.01724910736084,92,2,PLAY,StillPlaying,1008699.0
96.01732587814331,96,1,PLAY,StillPlaying,782553.0
100.01726698875427,100,0,PLAY,StillPlaying,509091.0
101.05666589736938,101,1,PLAY,Writing,323047.0
104.01726818084717,104,0,PLAY,StillPlaying,323047.0
108.01756238937378,108,0,BUFFERING,Play-Buffering,0
108.74144387245178,108,1,BUFFERING,Writing,177437.0
108.74683618545532,108,1,PLAY,Buffering-Play,0
108.74903917312622,108,0,PLAY,StillPlaying,177437.0
112.75096940994263,112,0,BUFFERING,Play-Buffering,0
114.07938647270203,112,1,BUFFERING,Writing,128503.0
114.0825662612915,112,1,PLAY,Buffering-Play,0
114.08320689201355,112,0,PLAY,StillPlaying,128503.0
118.08488059043884,116,0,BUFFERING,Play-Buffering,0
118.21558594703674,116,1,BUFFERING,Writing,88783.0
118.22127938270569,116,1,PLAY,Buffering-Play,0
118.22301411628723,116,0,PLAY,StillPlaying,88783.0
120.0820574760437,117,1,PLAY,Writing,45226.0
122.22408246994019,120,0,PLAY,StillPlaying,45226.0
124.29521441459656,122,1,PLAY,Writing,88783.0
126.14268279075623,123,2,PLAY,Writing,45226.0
126.22458481788635,124,1,PLAY,StillPlaying,88783.0
129.71466088294983,127,2,PLAY,Writing,88783.0
130.22400760650635,128,1,PLAY,StillPlaying,45226.0
131.61001253128052,129,2,PLAY,Writing,45226.0
133.20604515075684,130,3,PLAY,Writing,88783.0
133.39067673683167,131,4,PLAY,Writing,45226.0
133.7298879623413,131,5,PLAY,Writing,88783.0
134.21188712120056,131,6,PLAY,Writing,128503.0
134.2240161895752,132,5,PLAY,StillPlaying,88783.0
135.0097336769104,132,6,PLAY,Writing,177437.0
135.8300461769104,133,7,PLAY,Writing,217761.0
136.93041682243347,134,8,PLAY,Writing,255865.0
138.12329769134521,135,9,PLAY,Writing,323047.0
138.22456192970276,136,8,PLAY,StillPlaying,45226.0
139.42657566070557,137,9,PLAY,Writing,378355.0
141.15036988258362,138,10,PLAY,Writing,509091.0
142.22480654716492,140,9,PLAY,StillPlaying,88783.0
143.8389139175415,141,10,PLAY,Writing,577751.0
146.22415494918823,144,9,PLAY,StillPlaying,45226.0
147.32575726509094,145,10,PLAY,Writing,782553.0
150.22411704063416,148,9,PLAY,StillPlaying,88783.0
152.17227506637573,149,10,PLAY,Writing,1008699.0
154.22493505477905,152,9,PLAY,StillPlaying,128503.0
154.79838800430298,152,10,PLAY,Writing,782553.0
158.22419667243958,156,9,PLAY,StillPlaying,177437.0
159.2591474056244,157,10,PLAY,Writing,1008699.0
161.94083333015442,159,11,PLAY,Writing,782553.0
162.2239851951599,160,10,PLAY,StillPlaying,217761.0
166.22406554222107,164,9,PLAY,StillPlaying,255865.0
169.97808980941772,167,10,PLAY,Writing,1008699.0
170.2240855693817,168,9,PLAY,StillPlaying,323047.0
173.0909276008606,170,10,PLAY,Writing,782553.0
174.2241551876068,172,9,PLAY,StillPlaying,378355.0
177.87814903259277,175,10,PLAY,Writing,1008699.0
178.22404837608337,176,9,PLAY,StillPlaying,509091.0
181.43982243537903,179,10,PLAY,Writing,782553.0
182.2240767478943,180,9,PLAY,StillPlaying,577751.0
185.97904229164124,183,10,PLAY,Writing,1008699.0
186.22412610054016,184,9,PLAY,StillPlaying,782553.0
188.5517017841339,186,10,PLAY,Writing,782553.0
